"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11,11,11,11,9,9,9,9,10,10,10,10,9.01590442657471,9.01590442657471,9.01590442657471,9,9,9,9,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,9,9,9,9.01590442657471,9.01590442657471,9.01590442657471,9.01590442657471,15,15,15,15,13,13,13,13,9.12723731994629,9.12723731994629,9.12723731994629,9.12723731994629,9.13382530212402,9.13382530212402,9.13382530212402,9.13382530212402,9.14041233062744,9.14041233062744,9.14041233062744,9.14041233062744,9.14700031280518,9.14700031280518,9.14700031280518,9.15358829498291,9.15358829498291,9.15358829498291,9.15358829498291,9.16017627716064,9.16017627716064,9.16017627716064,9.16017627716064,9.16676425933838,9.16676425933838,9.16676425933838,9.16676425933838,9.17335224151611,9.17335224151611,9.17335224151611,9.17335224151611,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,12,12,12,12,17,17,17,17
"2",11,11,11,11,9,9,9,9,10,10,10,10,9.01590442657471,9.01590442657471,9.01590442657471,9,9,9,9,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,9,9,9,9.01590442657471,9.01590442657471,9.01590442657471,9.01590442657471,15,15,15,15,13,13,13,13,9.12723731994629,9.12723731994629,9.12723731994629,9.12723731994629,9.13382530212402,9.13382530212402,9.13382530212402,9.13382530212402,9.14041233062744,9.14041233062744,9.14041233062744,9.14041233062744,9.14700031280518,9.14700031280518,9.14700031280518,9.15358829498291,9.15358829498291,9.15358829498291,9.15358829498291,9.16017627716064,9.16017627716064,9.16017627716064,9.16017627716064,9.16676425933838,9.16676425933838,9.16676425933838,9.16676425933838,9.17335224151611,9.17335224151611,9.17335224151611,9.17335224151611,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,12,12,12,12,17,17,17,17
"3",11,11,11,11,9,9,9,9,10,10,10,10,9.01590442657471,9.01590442657471,9.01590442657471,9,9,9,9,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,9,9,9,9.01590442657471,9.01590442657471,9.01590442657471,9.01590442657471,15,15,15,15,13,13,13,13,9.12723731994629,9.12723731994629,9.12723731994629,9.12723731994629,9.13382530212402,9.13382530212402,9.13382530212402,9.13382530212402,9.14041233062744,9.14041233062744,9.14041233062744,9.14041233062744,9.14700031280518,9.14700031280518,9.14700031280518,9.15358829498291,9.15358829498291,9.15358829498291,9.15358829498291,9.16017627716064,9.16017627716064,9.16017627716064,9.16017627716064,9.16676425933838,9.16676425933838,9.16676425933838,9.16676425933838,9.17335224151611,9.17335224151611,9.17335224151611,9.17335224151611,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,12,12,12,12,17,17,17,17
"4",11,11,11,11,9,9,9,9,10,10,10,10,9.01590442657471,9.01590442657471,9.01590442657471,9,9,9,9,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,9,9,9,9.01590442657471,9.01590442657471,9.01590442657471,9.01590442657471,15,15,15,15,13,13,13,13,9.12723731994629,9.12723731994629,9.12723731994629,9.12723731994629,9.13382530212402,9.13382530212402,9.13382530212402,9.13382530212402,9.14041233062744,9.14041233062744,9.14041233062744,9.14041233062744,9.14700031280518,9.14700031280518,9.14700031280518,9.15358829498291,9.15358829498291,9.15358829498291,9.15358829498291,9.16017627716064,9.16017627716064,9.16017627716064,9.16017627716064,9.16676425933838,9.16676425933838,9.16676425933838,9.16676425933838,9.17335224151611,9.17335224151611,9.17335224151611,9.17335224151611,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,10,10,10,10.0159044265747,10.0159044265747,10.0159044265747,10.0159044265747,12,12,12,12,17,17,17,17
"5",10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,9.14972972869873,9.14972972869873,9.14972972869873,9.14972972869873,9.15631771087646,9.15631771087646,9.15631771087646,9.15631771087646,9.1629056930542,9.1629056930542,9.1629056930542,9.16949272155762,9.16949272155762,9.16949272155762,9.16949272155762,9.17608070373535,9.17608070373535,9.17608070373535,9.17608070373535,9.18266868591309,9.18266868591309,9.18266868591309,9.18266868591309,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,9.19584465026855,9.19584465026855,9.19584465026855,9.19584465026855,12,12,12,11,11,11,11,12,12,12,12,11.0159044265747,11.0159044265747,11.0159044265747,11.0159044265747
"6",10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,9.14972972869873,9.14972972869873,9.14972972869873,9.14972972869873,9.15631771087646,9.15631771087646,9.15631771087646,9.15631771087646,9.1629056930542,9.1629056930542,9.1629056930542,9.16949272155762,9.16949272155762,9.16949272155762,9.16949272155762,9.17608070373535,9.17608070373535,9.17608070373535,9.17608070373535,9.18266868591309,9.18266868591309,9.18266868591309,9.18266868591309,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,9.19584465026855,9.19584465026855,9.19584465026855,9.19584465026855,12,12,12,11,11,11,11,12,12,12,12,11.0159044265747,11.0159044265747,11.0159044265747,11.0159044265747
"7",10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,9.14972972869873,9.14972972869873,9.14972972869873,9.14972972869873,9.15631771087646,9.15631771087646,9.15631771087646,9.15631771087646,9.1629056930542,9.1629056930542,9.1629056930542,9.16949272155762,9.16949272155762,9.16949272155762,9.16949272155762,9.17608070373535,9.17608070373535,9.17608070373535,9.17608070373535,9.18266868591309,9.18266868591309,9.18266868591309,9.18266868591309,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,9.19584465026855,9.19584465026855,9.19584465026855,9.19584465026855,12,12,12,11,11,11,11,12,12,12,12,11.0159044265747,11.0159044265747,11.0159044265747,11.0159044265747
"8",10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,11,11,11,11,7.01590442657471,7.01590442657471,7.01590442657471,7.01590442657471,6,6,6,6,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,13,13,13,13,10,10,10,10,10,10,10,10,9.14972972869873,9.14972972869873,9.14972972869873,9.14972972869873,9.15631771087646,9.15631771087646,9.15631771087646,9.15631771087646,9.1629056930542,9.1629056930542,9.1629056930542,9.16949272155762,9.16949272155762,9.16949272155762,9.16949272155762,9.17608070373535,9.17608070373535,9.17608070373535,9.17608070373535,9.18266868591309,9.18266868591309,9.18266868591309,9.18266868591309,9.18925666809082,9.18925666809082,9.18925666809082,9.18925666809082,9.19584465026855,9.19584465026855,9.19584465026855,9.19584465026855,12,12,12,11,11,11,11,12,12,12,12,11.0159044265747,11.0159044265747,11.0159044265747,11.0159044265747
"9",13,13,13,13,13,13,13,13,12,12,12,12,10.0159044265747,10.0159044265747,10.0159044265747,10,10,10,10,8,8,8,8,6,6,6,6,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,12,12,12,12,13,13,13,13,10,10,10,10,9.16563415527344,9.16563415527344,9.16563415527344,9.16563415527344,9.17222213745117,9.17222213745117,9.17222213745117,9.17222213745117,9.17881011962891,9.17881011962891,9.17881011962891,9.18539810180664,9.18539810180664,9.18539810180664,9.18539810180664,9.19198608398438,9.19198608398438,9.19198608398438,9.19198608398438,9.19857406616211,9.19857406616211,9.19857406616211,9.19857406616211,9.20516109466553,9.20516109466553,9.20516109466553,9.20516109466553,9.21174907684326,9.21174907684326,9.21174907684326,9.21174907684326,10,10,10,9,9,9,9,11,11,11,11,11,11,11,11
"10",13,13,13,13,13,13,13,13,12,12,12,12,10.0159044265747,10.0159044265747,10.0159044265747,10,10,10,10,8,8,8,8,6,6,6,6,0,0,0,0,0,0,0,0,8,8,8,8.01590442657471,8.01590442657471,8.01590442657471,8.01590442657471,12,12,12,12,13,13,13,13,10,10,10,10,9.16563415527344,9.16563415527344,9.16563415527344,9.16563415527344,9.17222213745117,9.17222213745117,9.17222213745117,9.17222213745117,9.17881011962891,9.17881011962891,9.17881011962891,9.18539810180664,9.18539810180664,9.18539810180664,9.18539810180664,9.19198608398438,9.19198608398438,9.19198608398438,9.19198608398438,9.19857406616211,9.19857406616211,9.19857406616211,9.19857406616211,9.20516109466553,9.20516109466553,9.20516109466553,9.20516109466553,9.21174907684326,9.21174907684326,9.21174907684326,9.21174907684326,10,10,10,9,9,9,9,11,11,11,11,11,11,11,11
